Where,Euler1,Euler2,Euler3,Time,Input
Init,0,0,0,0.003708959,null
Init,0,0,0,0.004037023,null
Init,0,0,0,0.003982961,null
Init,0,0,0,0.004101038,null
Init,0,0,0,0.004633009,null
Init,0,0,0,0.003437996,null
Init,0,0,0,0.004106998,null
Init,0,0,0,0.003951013,null
Init,0,0,0,0.00415796,null
Init,0,0,0,0.003799021,null
Init,0,0,0,0.004438996,null
Init,0,0,0,0.003551006,null
Init,0,0,0,0.003780007,null
Init,0,0,0,0.01786596,null
Init,0,0,0,0.006412029,null
Init,0,0,0,0.00405401,null
Init,0,0,0,0.003790975,null
Init,0,0,0,0.004140019,null
Init,0,0,0,0.003926992,null
Init,0,0,0,0.003821015,null
Init,0,0,0,0.004006982,null
Init,0,0,0,0.004087985,null
Init,0,0,0,0.004028022,null
Init,0,0,0,0.00415802,null
Init,0,0,0,0.003874958,null
Init,0,0,0,0.003856003,null
Init,0,0,0,0.004166007,null
Init,0,0,0,0.003831029,null
Init,0,0,0,0.004152,null
Init,0,0,0,0.004135966,null
Init,0,0,0,0.003827989,null
Init,0,0,0,0.003980041,null
Init,0,0,0,0.004000008,null
Init,0,0,0,0.00385797,null
Init,0,0,0,0.004212022,null
Init,0,0,0,0.003826976,null
Init,0,0,0,0.003953993,null
Init,0,0,0,0.003998995,null
Init,0,0,0,0.003912032,null
Init,0,0,0,0.004150987,null
Init,0,0,0,0.004094005,null
Init,0,0,0,0.00404799,null
Init,0,0,0,0.003978014,null
Init,0,0,0,0.003884017,null
Init,0,0,0,0.003997982,null
Init,0,0,0,0.004279017,null
Init,0,0,0,0.003925979,null
Init,0,0,0,0.003880024,null
Init,0,0,0,0.004164994,null
Init,0,0,0,0.003820956,null
Init,0,0,0,0.003937006,null
Init,0,0,0,0.004294038,null
Init,0,0,0,0.003859997,null
Init,0,0,0,0.003977001,null
Init,0,0,0,0.003966987,null
Init,0,0,0,0.004019022,null
Init,0,0,0,0.004076958,null
Init,0,0,0,0.003821015,null
Init,0,0,0,0.004040003,null
Init,0,0,0,0.004076004,null
Init,0,0,0,0.00395602,null
Init,0,0,0,0.004098952,null
Init,0,0,0,0.003773034,null
Init,0,0,0,0.004104018,null
Init,0,0,0,0.00422895,null
Init,0,0,0,0.003834009,null
Init,0,0,0,0.004424989,null
Init,0,0,0,0.003427029,null
Init,0,0,0,0.003925979,null
Init,0,0,0,0.003998041,null
Init,0,0,0,0.004141986,null
Init,0,0,0,0.004176974,null
Init,0,0,0,0.003977001,null
Init,0,0,0,0.003845036,null
Init,0,0,0,0.004088998,null
Init,0,0,0,0.004103959,null
Init,0,0,0,0.003798008,null
Init,0,0,0,0.004404008,null
Init,0,0,0,0.003555,null
Init,0,0,0,0.00403899,null
Init,0,0,0,0.004263997,null
Init,0,0,0,0.003959,null
Init,0,0,0,0.004040003,null
Init,0,0,0,0.004083037,null
Init,0,0,0,0.003693998,null
Init,0,0,0,0.00394696,null
Init,0,0,0,0.003989995,null
Init,0,0,0,0.004191041,null
Init,0,0,0,0.003893971,null
Init,0,0,0,0.004117012,null
Init,0,0,0,0.003771007,null
Init,0,0,0,0.003942966,null
Init,0,0,0,0.004049003,null
Init,0,0,0,0.004245043,null
Init,0,0,0,0.00416398,null
Init,0,0,0,0.003840029,null
Init,0,0,0,0.003994942,null
Init,0,0,0,0.003515005,null
Init,0,0,0,0.004112005,null
Init,0,0,0,0.004052997,null
Init,0,0,0,0.004143,null
Init,0,0,0,0.004065037,null
Init,0,0,0,0.003782988,null
Init,0,0,0,0.004158974,null
Init,0,0,0,0.004105031,null
Init,0,0,0,0.004257977,null
Init,0,0,0,0.003690004,null
Init,0,0,0,0.004037023,null
Init,0,0,0,0.003740013,null
Init,0,0,0,0.004171968,null
Init,0,0,0,0.004296005,null
Init,0,0,0,0.003745019,null
Init,0,0,0,0.003975987,null
Init,0,0,0,0.003934026,null
Init,0,0,0,0.00394398,null
Init,0,0,0,0.003953993,null
Init,0,0,0,0.00414598,null
Init,0,0,0,0.00394702,null
Init,0,0,0,0.003907979,null
Init,0,0,0,0.00396502,null
Init,0,0,0,0.003970981,null
Init,0,0,0,0.004092991,null
Init,0,0,0,0.004188001,null
Init,0,0,0,0.003967047,null
Init,0,0,0,0.003977954,null
Init,0,0,0,0.004039049,null
Init,0,0,0,0.004092991,null
Init,0,0,0,0.004137993,null
Init,0,0,0,0.00384599,null
Init,0,0,0,0.003983021,null
Init,0,0,0,0.003894985,null
Init,0,0,0,0.003982008,null
Init,0,0,0,0.004000962,null
Init,0,0,0,0.004078031,null
Init,0,0,0,0.00386101,null
Init,0,0,0,0.004181981,null
Init,0,0,0,0.003960013,null
Init,0,0,0,0.003995001,null
Init,0,0,0,0.003805995,null
Init,0,0,0,0.004306972,null
Init,0,0,0,0.003774047,null
Init,0,0,0,0.004221976,null
Init,0,0,0,0.003885031,null
Init,0,0,0,0.003838956,null
Init,0,0,0,0.003989995,null
Init,0,0,0,0.004122019,null
Init,0,0,0,0.003795028,null
Init,0,0,0,0.004110992,null
Init,0,0,0,0.003884971,null
Init,0,0,0,0.004029989,null
Init,0,0,0,0.003980041,null
Init,0,0,0,0.004236996,null
Init,0,0,0,0.003876984,null
Init,0,0,0,0.004152,null
Init,0,0,0,0.003777981,null
Init,0,0,0,0.004132032,null
Init,0,0,0,0.004248977,null
Init,0,0,0,0.003817022,null
Init,0,0,0,0.003953993,null
Init,0,0,0,0.004114985,null
Init,0,0,0,0.00405401,null
Init,0,0,0,0.003982008,null
Init,0,0,0,0.004033983,null
Init,0,0,0,0.003841996,null
Init,0,0,0,0.004022002,null
Init,0,0,0,0.004213989,null
Init,0,0,0,0.003832996,null
Init,0,0,0,0.004074037,null
Init,0,0,0,0.003895998,null
Init,0,0,0,0.003920972,null
Init,0,0,0,0.003917038,null
Init,0,0,0,0.004082978,null
Init,0,0,0,0.004218996,null
Init,0,0,0,0.003800988,null
Init,0,0,0,0.004103005,null
Init,0,0,0,0.003904998,null
Init,0,0,0,0.003978014,null
Init,0,0,0,0.003971994,null
Init,0,0,0,0.003987014,null
Init,0,0,0,0.004031003,null
Init,0,0,0,0.004074991,null
Init,0,0,0,0.003802001,null
Init,0,0,0,0.004073024,null
Init,0,0,0,0.004251957,null
Init,0,0,0,0.003917038,null
Init,0,0,0,0.003777981,null
Init,0,0,0,0.004091024,null
Init,0,0,0,0.003881991,null
Init,0,0,0,0.004083991,null
Init,0,0,0,0.004101992,null
Init,0,0,0,0.003916025,null
Init,0,0,0,0.004043996,null
Init,0,0,0,0.00384599,null
Init,0,0,0,0.004005015,null
Init,0,0,0,0.00416398,null
Init,0,0,0,0.004069984,null
Init,0,0,0,0.003973007,null
Init,0,0,0,0.004123986,null
Init,0,0,0,0.003886044,null
Init,0,0,0,0.003986001,null
Init,0,0,0,0.004104972,null
Init,0,0,0,0.004287004,null
Init,0,0,0,0.003543973,null
Init,0,0,0,0.004085004,null
Init,0,0,0,0.00395602,null
Init,0,0,0,0.003934026,null
Init,0,0,0,0.004158974,null
Init,0,0,0,0.003731012,null
Init,0,0,0,0.003875971,null
Init,0,0,0,0.004221022,null
Init,0,0,0,0.004203975,null
Init,0,0,0,0.003984034,null
Init,0,0,0,0.003726006,null
Init,0,0,0,0.003938973,null
Init,0,0,0,0.00426501,null
Init,0,0,0,0.004074991,null
Init,0,0,0,0.003838003,null
Init,0,0,0,0.004329979,null
Init,0,0,0,0.004159033,null
Init,0,0,0,0.003488004,null
Init,0,0,0,0.004172981,null
Init,0,0,0,0.003897011,null
Init,0,0,0,0.004109979,null
Init,0,0,0,0.004085004,null
Init,0,0,0,0.00367403,null
Init,0,0,0,0.004197001,null
Init,0,0,0,0.004094958,null
Init,0,0,0,0.00395,null
Init,0,0,0,0.004207015,null
Init,0,0,0,0.003580987,null
Init,0,0,0,0.004220009,null
Init,0,0,0,0.004082024,null
Init,0,0,0,0.003713965,null
Init,0,0,0,0.004074037,null
Init,0,0,0,0.003953993,null
Init,0,0,0,0.004019976,null
Init,0,0,0,0.003818035,null
Init,0,0,0,0.004188955,null
Init,0,0,0,0.003968,null
Init,0,0,0,0.00425601,null
Init,0,0,0,0.003777027,null
Init,0,0,0,0.004094005,null
Init,0,0,0,0.003812969,null
Init,0,0,0,0.003992021,null
Init,0,0,0,0.003803015,null
Init,0,0,0,0.004153967,null
Init,0,0,0,0.004076004,null
Init,0,0,0,0.004077017,null
Init,0,0,0,0.00406301,null
Init,0,0,0,0.003989995,null
Init,0,0,0,0.004000962,null
Init,0,0,0,0.003834009,null
Init,0,0,0,0.004121006,null
Init,0,0,0,0.003992021,null
Init,0,0,0,0.004104972,null
Init,0,0,0,0.004202008,null
Init,0,0,0,0.003862023,null
Init,0,0,0,0.003924012,null
Init,0,0,0,0.003807962,null
Init,0,0,0,0.01273,null
Init,0,0,0,0.007872999,null
Init,0,0,0,0.003271997,null
Init,0,0,0,0.004229009,null
Init,0,0,0,0.00397402,null
Init,0,0,0,0.003956974,null
Init,0,0,0,0.004233003,null
Init,0,0,0,0.003871977,null
Init,0,0,0,0.003958046,null
Init,0,0,0,0.003874958,null
Init,0,0,0,0.004113019,null
Init,0,0,0,0.004261017,null
Init,0,0,0,0.003814995,null
Init,0,0,0,0.003973007,null
Init,0,0,0,0.003870964,null
Init,0,0,0,0.004095018,null
Init,0,0,0,0.003908992,null
Init,0,0,0,0.004345,null
Init,0,0,0,0.003771007,null
Init,0,0,0,0.00385201,null
Init,0,0,0,0.004113019,null
Init,0,0,0,0.003937006,null
Init,0,0,0,0.003922999,null
Init,0,0,0,0.004393995,null
Init,0,0,0,0.003775001,null
Init,0,0,0,0.004051983,null
Init,0,0,0,0.003808975,null
Init,0,0,0,0.004254997,null
Init,0,0,0,0.004005015,null
Init,0,0,0,0.004011035,null
Init,0,0,0,0.003814995,null
Init,0,0,0,0.004091978,null
Init,0,0,0,0.003987014,null
Init,0,0,0,0.003859997,null
Init,0,0,0,0.004118979,null
Init,0,0,0,0.003849983,null
Init,0,0,0,0.003918052,null
Init,0,0,0,0.004088998,null
Init,0,0,0,0.00386399,null
Init,0,0,0,0.004275978,null
Init,0,0,0,0.003960013,null
Init,0,0,0,0.003924012,null
Init,0,0,0,0.003921986,null
Init,0,0,0,0.004190981,null
Init,0,0,0,0.003937006,null
Init,0,0,0,0.004229009,null
Init,0,0,0,0.003826022,null
Init,0,0,0,0.004127979,null
Init,0,0,0,0.003930986,null
Init,0,0,0,0.003989995,null
Init,0,0,0,0.003961027,null
Init,0,0,0,0.004381001,null
Init,0,0,0,0.003782988,null
Init,0,0,0,0.003969014,null
Init,0,0,0,0.003924966,null
Init,0,0,0,0.004115999,null
Init,0,0,0,0.003917038,null
Init,0,0,0,0.004106998,null
Init,0,0,0,0.003840983,null
Init,0,0,0,0.004040003,null
Init,0,0,0,0.00406599,null
Init,0,0,0,0.003749013,null
Init,0,0,0,0.003906012,null
Init,0,0,0,0.004314959,null
Init,0,0,0,0.004162014,null
Init,0,0,0,0.003723025,null
Init,0,0,0,0.003784001,null
Init,0,0,0,0.004179001,null
Init,0,0,0,0.003897011,null
Init,0,0,0,0.004349947,null
Init,0,0,0,0.003886044,null
Init,0,0,0,0.004078984,null
Init,0,0,0,0.003850996,null
Init,0,0,0,0.004041016,null
Init,0,0,0,0.004051983,null
Init,0,0,0,0.004004002,null
Init,0,0,0,0.00416702,null
Init,0,0,0,0.003616989,null
Init,0,0,0,0.003870964,null
Init,0,0,0,0.004441023,null
Init,0,0,0,0.003876984,null
Init,0,0,0,0.003819048,null
Init,0,0,0,0.004117966,null
Init,0,0,0,0.003868997,null
Init,0,0,0,0.004074037,null
Init,0,0,0,0.004147947,null
Init,0,0,0,0.003885031,null
Init,0,0,0,0.004049003,null
Init,0,0,0,0.004113972,null
Init,0,0,0,0.003664017,null
Init,0,0,0,0.004271984,null
